Name,MPN,Price,Instock
D&H,MTA18ADF2G72AZ-3G2E1R,$61,YES
D&H,MTA18ASF2G72PZ-3G2R,$53,YES
D&H,MTA18ASF2G72PDZ-3G2R1R,$56,NO
D&H,MTA18ASF4G72AZ-3G2R,$80,YES
D&H,MTA18ASF4G72PDZ-3G2R,$80,YES
D&H,MTA18ASF4G72PZ-3G2R,$80,YES
D&H,MTA18ASF2G72AZ-3G2R1R,$56,NO
D&H,MTA18ASF2G72HZ-3G2R1R,$56,YES
D&H,MTA18ASF4G72PDZ-3G2F1R,$85,NO
D&H,MTA18ASF2G72PDZ-3G2R,$53,YES
D&H,MTA36ASF4G72PZ-3G2R1R,$85,NO
D&H,MTA36ASF4G72PZ-3G2R,$80,YES
D&H,MTA36ASF8G72LZ-2G9B1R,$347,YES
D&H,MTA36ASF8G72PZ-3G2F1R,$164,YES
D&H,MTA36ASF8G72PZ-3G2R,$154,YES
D&H,MTA9ADF1G72AZ-3G2E1R,$55,YES
D&H,MTA9ASF1G72PZ-3G2R1R,$50,YES
D&H,MTA9ASF1G72PZ-3G2R,$48,YES
D&H,MTA9ASF2G72AZ-3G2F1R,$56,NO
D&H,MTA9ASF2G72AZ-3G2R,$53,NO
D&H,MTA9ASF2G72HZ-3G2R,$53,YES
D&H,MTC10C1084S1EC48BA1R,$100,NO
D&H,MTC10C1084S1EC56BD1R,$108,YES
D&H,MTC10C1084S1TC56BD1R,$108,YES
D&H,MTC10C1084S1WC64BD1R,$116,NO
D&H,MTC10F1084S1RC48BA1R,$100,NO
D&H,MTC10F1084S1RC56BD1R,$108,NO
D&H,MTC10F1084S1RC64BR,$111,NO
D&H,MTC10F1084S1RC64BD2R,$116,NO
D&H,MTC10F108YS1RC56BR,$143,NO
D&H,MTC20C2085S1EC56BD1R,$159,YES
D&H,MTC20C2085S1TC56BD1R,$159,YES
D&H,MTC20C2085S1WC64BD1R,$170,NO
D&H,MTC20F1045S1RC48BR,$133,NO
D&H,MTC20F1045S1RC48BA2R,$138,YES
D&H,MTC20F1045S1RC56BD1R,$159,NO
D&H,MTC20F1045S1RC64BD2R,$170,NO
D&H,MTC20F1045S1RC64BR,$164,NO
D&H,MTC20F104XS1RC48BR,$204,YES
D&H,MTC20F104XS1RC56BR,$235,NO
D&H,MTC20F2085S1HC88XD1R,$201,NO
D&H,MTC20F2085S1HC88XD1T,$200,NO
D&H,MTC20F2085S1RC56BR,$153,YES
D&H,MTC20F2085S1RC48BR,$133,NO
D&H,MTC20F2085S1RC48BA1R,$138,YES
D&H,MTC20F2085S1RC56BD1R,$159,NO
D&H,MTC20F2085S1RC64BR,$164,NO
D&H,MTC20F2085S1RC64BD2R,$170,NO
D&H,MTC20F208XS1RC56BR,$235,YES
D&H,MTC40F2046S1RC56BR,$301,NO
D&H,MTC40F2046S1HC88XD1T,$346,NO
D&H,MTC40F2046S1HC88XD1R,$347,NO
D&H,MTC40F2046S1RC48BA1R,$291,NO
D&H,MTC40F2046S1RC56BD1R,$307,YES
D&H,MTC40F2046S1RC64BD2R,$327,NO
D&H,MTC40F2046S1RC64BR,$314,NO
D&H,MTC40F2047S1RC56BB1R,$969,NO
D&H,MTC40F2047S1RC56BR,$969,NO
D&H,MTC40F2047S1RC64BB1R,"$1,037",NO
D&H,MTC40F204WS1RC56BB1R,$443,NO
D&H,MTC40F204WS1RC56BR,$425,NO
D&H,MTC40F4086S1HC88XD1R,$347,NO
D&H,MTC40F4086S1HC88XD1T,$346,NO
D&H,MTFDDAK1T9TGA-1BC16ABYYR,$335,NO
D&H,MTFDDAK1T9TGA-1BC1ZABYYR,$301,YES
D&H,MTFDDAK1T9TGB-1BC15ABYYR,$383,NO
D&H,MTFDDAK1T9TGB-1BC16ABYYR,$376,NO
D&H,MTFDDAK1T9TGB-1BC1ZABYYR,$371,YES
D&H,MTFDDAK240TGA-1BC1ZABYYT,$81,NO
D&H,MTFDDAK240TGA-1BC1ZABYYR,$81,NO
D&H,MTFDDAK3T8TGA-1BC15ABYYR,$540,YES
D&H,MTFDDAK3T8TGA-1BC1ZABYYR,$534,NO
D&H,MTFDDAK3T8TGB-1BC15ABYYR,$661,YES
D&H,MTFDDAK3T8TGB-1BC1ZABYYR,$656,YES
D&H,MTFDDAK480TGA-1BC1ZABYYR,$114,NO
D&H,MTFDDAK480TGB-1BC1ZABYYR,$135,NO
D&H,MTFDDAK7T6TGA-1BC16ABYYR,$948,NO
D&H,MTFDDAK7T6TGA-1BC1ZABYYR,$942,NO
D&H,MTFDDAK960TGA-1BC16ABYYR,$185,NO
D&H,MTFDDAK960TGB-1BC15ABYYR,$218,NO
D&H,MTFDDAK960TGB-1BC1ZABYYR,$213,YES
D&H,MTFDDAK960TGA-1BC1ZABYYR,$182,NO
D&H,MTFDDAV480TGA-1BC1ZABYYR,$110,YES
D&H,MTFDKBA1T0QGN-1BN1AABYYR,$70,NO
D&H,MTFDKBA2T0QGN-1BN1AABYYR,$137,NO
D&H,MTFDKBA480TFR-1BC1ZABYYR,$134,NO
D&H,MTFDKBA512QGN-1BN1AABYYR,$43,NO
D&H,MTFDKBA960TFR-1BC15ABYYR,$198,NO
D&H,MTFDKBG1T9TFR-1BC15ABYYR,$327,YES
D&H,MTFDKBG960TFR-1BC1ZABYYR,$204,YES
D&H,MTFDKBZ7T6TFR-1BC1ZABYYR,"$1,048",NO
D&H,MTFDKCB3T2TFS-1BC1ZABYYR,$688,YES
D&H,MTFDKCB960TFR-1BC1ZABYYR,$204,NO
D&H,MTFDKCC12T8TFS-1BC1ZABYYR,"$2,314",YES
D&H,MTFDKCC15T3TFR-1BC15ABYYR,"$2,017",YES
D&H,MTFDKCC15T3TFR-1BC1ZABYYR,"$2,012",YES
D&H,MTFDKCC15T3TGH-1BC1ZABYYR,"$2,594",NO
D&H,MTFDKCC15T3TGP-1BK1DABYYR,"$1,885",NO
D&H,MTFDKCC1T9TFR-1BC1ZABYYR,$329,YES
D&H,MTFDKCC1T9TGP-1BK1DABYYR,$307,YES
D&H,MTFDKCC25T6TGJ-1BC1ZABYYR,"$5,602",YES
D&H,MTFDKCC30T7TGH-1BC1ZABYYR,"$4,871",NO
D&H,MTFDKCC30T7TGR-1BK1DFCYYR,"$3,474",YES
D&H,MTFDKCC3T2TFS-1BC1ZABYYR,$688,YES
D&H,MTFDKCC3T2TGQ-1BK1DABYYR,$604,NO
D&H,MTFDKCC3T8TFR-1BC1ZABYYR,$598,YES
D&H,MTFDKCC3T8TGP-1BK1DABYYR,$526,NO
D&H,MTFDKCC6T4TGJ-1BC1ZABYYR,"$1,604",YES
D&H,MTFDKCC6T4TGQ-1BK1DABYYR,"$1,099",YES
D&H,MTFDKCC7T6TFR-1BC1ZABYYR,"$1,048",YES
D&H,MTFDKCC7T6TGH-1BC1ZABYYR,"$1,395",YES
D&H,MTFDKCC7T6TGP-1BK1DABYYR,$956,NO
D&H,MTFDKCC800TGQ-1BK1DABYYR,$224,NO
D&H,MTFDKCC960TFR-1BC1ZABYYR,$204,NO
D&H,MTFDKCC960TGP-1BK1DABYYR,$196,NO
D&H,MTFDKCE3T8TFR-1BC15ABYYR,$630,NO
D&H,MTFDLAL12T8THB-1BK1DABYYR,"$2,684",NO
D&H,MTFDLAL15T3THA-1BK1DABYYR,"$2,335",NO
D&H,MTFDLAL25T6THB-1BK1DABYYR,"$4,986",NO
D&H,MTFDLAL30T7THA-1BK1DABYYR,"$4,336",NO
D&H,MTFDLAL3T2THB-1BK1DABYYR,$742,NO
D&H,MTFDLAL3T8THA-1BK1DABYYR,$646,NO
D&H,MTFDLAL6T4THB-1BK1DABYYR,"$1,363",NO
D&H,MTFDLAL7T6THA-1BK1DABYYR,"$1,186",NO
D&H,MTFDLBQ12T8THB-1BK1DABYYR,"$2,684",NO
D&H,MTFDLBQ15T3THA-1BK1DABYYR,"$2,335",NO
D&H,MTFDLBQ25T6THB-1BK1DABYYR,"$4,986",NO
D&H,MTFDLBQ30T7THA-1BK1DABYYR,"$4,336",NO
D&H,MTFDLBQ3T2THB-1BK1DABYYR,$742,NO
D&H,MTFDLBQ3T8THA-1BK1DABYYR,$646,NO
D&H,MTFDLBQ6T4THB-1BK1DABYYR,"$1,363",NO
D&H,MTFDLBQ7T6THA-1BK1DABYYR,"$1,186",NO
D&H,CP16G4DFRA32A,$29,NO
D&H,CP2K16G4DFRA32A,$53,NO
D&H,CP2K16G56C46U5,$79,NO
D&H,CP2K16G60C36U5B,$97,NO
D&H,CP2K16G60C36U5W,$105,YES
D&H,CP2K16G60C48U5,$88,YES
D&H,CP2K32G4DFRA32A,$93,YES
D&H,CP2K32G56C46U5,$146,NO
D&H,CP2K48G56C46U5,$189,NO
D&H,CP32G4DFRA32A,$54,YES
D&H,CT1000BX500SSD1,$54,NO
D&H,CT1000E100SSD8,$53,NO
D&H,CT1000P310SSD2,$104,YES
D&H,CT1000P310SSD8,$64,NO
D&H,CT1000P510SSD5,$112,NO
D&H,CT1000P510SSD8,$102,NO
D&H,CT1000P510SSD8-T,$101,NO
D&H,CT1000T500SSD5,$86,YES
D&H,CT1000T500SSD8,$102,YES
D&H,CT1000T705SSD3,$150,YES
D&H,CT1000T705SSD5,$160,NO
D&H,CT1000X10PROSSD9,$97,YES
D&H,CT1000X9PROMACSSD9B,$72,YES
D&H,CT1000X9PROSSD9,$103,NO
D&H,CT1000X9SSD9,$84,NO
D&H,CT16G48C40U5,$35,YES
D&H,CT16G4DFRA32A,$27,NO
D&H,CT16G4SFRA32A,$27,YES
D&H,CT16G56C46S5,$38,YES
D&H,CT2000BX500SSD1,$107,NO
D&H,CT2000P310SSD2,$187,YES
D&H,CT2000P310SSD8,$129,NO
D&H,CT2000P510SSD5,$188,NO
D&H,CT2000P510SSD8,$178,NO
D&H,CT2000P510SSD8-T,$177,NO
D&H,CT2000T500SSD5,$138,YES
D&H,CT2000T500SSD8,$160,NO
D&H,CT2000T705SSD3,$224,NO
D&H,CT2000T705SSD5,$234,NO
D&H,CT2000X10PROSSD9,$139,YES
D&H,CT2000X9PROMACSSD9B,$177,YES
D&H,CT2000X9PROSSD9,$168,NO
D&H,CT2000X9SSD9,$104,NO
D&H,CT240BX500SSD1,$16,YES
D&H,CT2K16G48C40S5,$70,NO
D&H,CT2K16G48C40U5,$70,NO
D&H,CT2K16G4DFRA32A,$53,YES
D&H,CT2K16G4SFD824A,$43,NO
D&H,CT2K16G4SFRA32A,$53,NO
D&H,CT2K16G52C42U5,$76,YES
D&H,CT2K16G56C46S5,$75,YES
D&H,CT2K16G56C46U5,$75,NO
D&H,CT2K24G56C46S5,$97,NO
D&H,CT2K32G48C40S5,$139,NO
D&H,CT2K32G48C40U5,$139,NO
D&H,CT2K32G4DFD832A,$98,YES
D&H,CT2K32G4SFD832A,$98,YES
D&H,CT2K32G56C46S5,$141,NO
D&H,CT2K32G56C46U5,$141,NO
D&H,CT2K48G56C46S5,$184,NO
D&H,CT2K64G56C46S5,$283,NO
D&H,CT2K8G48C40U5,$41,YES
D&H,CT2K8G4DFRA32A,$28,YES
D&H,CT2K8G4DFS824A,$28,YES
D&H,CT2K8G4SFRA32A,$28,NO
D&H,CT2K8G56C46S5,$41,NO
D&H,CT2K8G56C46U5,$41,NO
D&H,CT32G48C40U5,$70,NO
D&H,CT32G4DFD832A,$49,YES
D&H,CT32G4SFD832A,$49,YES
D&H,CT32G56C46S5,$71,NO
D&H,CT32G56C46U5,$71,NO
D&H,CT32G75C2LP5X,$127,NO
D&H,CT4000BX500SSD1,$216,NO
D&H,CT4000P310SSD8,$258,NO
D&H,CT4000P3PSSD8,$227,YES
D&H,CT4000T705SSD3,$367,NO
D&H,CT4000T705SSD5,$386,NO
D&H,CT4000X10PROSSD9,$315,YES
D&H,CT4000X9PROMACSSD9B,$306,YES
D&H,CT4000X9PROSSD9,$287,YES
D&H,CT4000X9SSD9,$259,NO
D&H,CT480BX500SSD1,$33,YES
D&H,CT480E100SSD8,$34,NO
D&H,CT48G56C46S5,$92,YES
D&H,CT500P310SSD8,$38,NO
D&H,CT500T500SSD8,$73,NO
D&H,CT64G56C46S5,$141,NO
D&H,CT64G75C2LP5X,$253,NO
D&H,CT8G48C40S5,$20,YES
D&H,CT8G48C40U5,$20,YES
D&H,CT8G4DFRA32A,$14,YES
D&H,CT8G4DFS824A,$14,YES
D&H,CT8G4SFRA32A,$14,YES
D&H,CT8G4SFS824A,$13,NO
D&H,CT8G56C46S5,$20,YES
D&H,CT8G56C46U5,$20,NO
D&H,CTUSBCFUSBAMAD,$3,YES
