Main Image,Image Count,ASIN,Page Score,Title,Brand,Est. Monthly Revenue,Trailing 12 Months,Main Category,Main Category Rank,Primary Subcategory,Primary Subcategory Rank,1 Month Growth,12 Month Growth,Opportunity Score,Est. New Seller Share,Price,Package Quantity,FBA Sellers,All Sellers,Est. Monthly Units Sold,Amazon In-Stock Rate,Rating,Ratings Count,Parent ASIN,Launch Date,UPC,Manufacturer,Part Number,Model
41aFuLw2EKL.jpg,1,B0DDWH41HB,6.8,Meta Quest 3 512GB — Ultimate Mixed Reality Experiences — Get Batman: Arkham Shadow and a 3-Month Trial of Meta Quest+ Included,Meta,8649827,80799488.53,Video Games,18,Cell Phone Virtual Reality (VR) Headsets,1,-0.142,,6.5,8650,499.99,1,2,11,17300,1,4.5,6403,B0CK19S7R2,2024-09-30 00:00:00,815820025344,Meta,Q3S128,815820025344
71YjsbkkO9L.jpg,8,B0DZCBYCNY,6.7,"Insta360 X5 - Waterproof 8K 360° Action Camera, Leading Low Light, Invisible Selfie Stick Effect, Rugged and Replaceable Lens, 3-Hour Battery, Built-in Wind Guard, Stabilization, Triple AI Chip Design",Insta360,8187151.14,,Electronics,103,Sports & Action Video Cameras,1,,,8,7443,549.99,1,1,3,14886,0,,0,B0F5QKYDH7,2025-04-03 00:00:00,842126113079,Insta360,CINSAAHA-S,CINSAAHA
717MAdQLQVL.jpg,7,B0882ZJ48W,9.7,"GE XWFE Refrigerator Water Filter, Genuine Replacement Filter, Certified to Reduce Lead, Sulfur, and 50+ Other Impurities, Replace Every 6 Months for Best Results, Pack of 1",GE,4891798.25,52402180.59,Tools & Home Improvement,3,In-Refrigerator Water Filters,1,0.002,0.192,3.7,20135,48.59,1,6,13,100675,1,4.5,33744,,2020-05-04 00:00:00,84691851615,GE Appliances,XWFE,XWFE
81i7ILLcnuL.jpg,13,B079VP6DH5,9.9,"Bounty Paper Towels Quick Size, White, 16 Family Rolls = 40 Regular Rolls (Packaging May Vary)",Bounty,4440242.02,54462819.5,Health & Household,6,Paper Towels,1,0,-0.008,5.7,51049,43.49,16,2,15,102098,1,4.8,262168,B0F43DY75H,2018-04-03 00:00:00,30772079768,Procter & Gamble (P&G-2),1299292831,1299292831
31kTNmpm6vL.jpg,5,B0CL61F39H,6.9,PlayStation®5 console (slim),PlayStation,4064431.14,86716209.28,Video Games,383,PlayStation 5 Consoles,3,1.125,1.226,6.2,4081,497.97,1,1,10,8162,1,4.7,6324,B0DT7K94J6,2023-12-10 00:00:00,711719573364,Sony,1000039671,CFI-2015
71aHvYUgX1L.jpg,3,B0DKFMSMYK,6.7,"AMD RYZEN 7 9800X3D 8-Core, 16-Thread Desktop Processor",AMD,3750286.28,24252132.99,Electronics,,Computer CPU Processors,1,-0.152,,4.2,7697,487.24,1,11,73,7697,0.544,4.7,1206,,2024-11-07 00:00:00,730143315289,AMD,100-100001084WOF,Ryzen ™ 7 9800X3D
71V0kbGwsTL.jpg,7,B0016HF5GK,9.5,"BISSELL Little Green Multi-Purpose Portable Carpet and Upholstery Cleaner, Car and Auto Detailer, with Exclusive Specialty Tools, Green, 1400B",Bissell,3661572.8,94690773.71,Home & Kitchen,47,Carpet & Upholstery Cleaning Machines,1,-0.076,-0.228,4,8108,112.9,1,5,9,32432,1,4.5,95670,B0DVMXPDHT,2011-03-24 00:00:00,11120007503,BISSELL,1400B,1400B
71VPFJJZ7WL.jpg,7,B002WKO7LY,8.9,"In The Swim 3 Inch Stabilized Chlorine Tablets for Sanitizing Swimming Pools - Individually Wrapped, Slow Dissolving - 90% Available Chlorine - Tri-Chlor - 50 Pounds",In The Swim,3588751.74,15216663.6,"Patio, Lawn & Garden",84,Swimming Pool Chlorine,3,0.614,0.27,8.4,18807,190.82,1,1,3,18807,0,4.6,21139,B09J1M4BDF,2021-10-17 00:00:00,656165284689,In The Swim,C3050,C3050
61pg7GRP3GL.jpg,12,B002MSN3QQ,9.9,"EltaMD UV Clear Face Sunscreen SPF 46, Oil Free for Face with Zinc Oxide, Dermatologist Recommended Sunscreen Lotion, For Acne-Prone Sensitive Skin, 1.7 oz Pump",EltaMD,3576401.4,35922686.32,Beauty & Personal Care,41,Facial Sunscreens,1,0.287,-0.052,5.9,27218,43.8,1,2,4,81653,1,4.6,80079,B0DP1JRKHK,2004-02-19 00:00:00,,EltaMD,2500,2500
81StZsCHUDL.jpg,14,B0798DVT68,9.8,"Charmin Ultra Soft Cushiony Touch Toilet Paper, 24 Family Mega Rolls = 123 Regular Rolls",Charmin,3549283.92,44439791.8,Health & Household,6,Toilet Paper,2,0.012,-0.005,6.5,50004,35.49,24,1,16,100008,1,4.8,110066,B0D3M3XWKH,2018-03-12 00:00:00,30772025055,Procter & Gamble,43217-6299,43217-6299
