ASIN,Brand,Est. Monthly Revenue,Price,FBA Sellers,Est. Monthly Units Sold,Amazon In-Stock Rate,UPC,Part Number,Product name,Bought in past month,Reviews: Rating,Reviews: Review Count,Buy Box: Current,Buy Box Seller,FBA Fees:,Referral Fee based on current Buy Box price,"Count of retrieved live offers: New, FBA",Product Codes: EAN,Product Codes: UPC,Product Codes: PartNumber
B0CT3SGHXL,Garmin,581156.38,231.26,13,2513,1,753759326593,010-02863-20,"Garmin Forerunner 165, Running Smartwatch, Colorful AMOLED Display, Training Metrics and Recovery Insights, Black",3000,4.7,751,199.99,Beach Camera Same Day Shipping (96% A13BNE3P7C8THK),4.01,16,11,0753759326593,753759326593,010-02863-20
B0BS1T9J4Y,Garmin,494452.53,436.41,15,1133,1,753759313654,010-02810-00,"Garmin Forerunner 265 Running Smartwatch, Colorful AMOLED Display, Training Metrics and Recovery Insights, Black and Powder Gray",2000,4.6,654,349.99,The PlayBetter Store (96% A1M8B88YR0AAGH),4.01,28,13,"0753759313715, 0753759313654","753759313654, 753759313715",010-02810-00
B0CDC6Y617,Garmin,1096966.62,407.34,8,2693,1,753759314798,010-02785-02,Garmin Venu 3S Soft Gold Stainless Steel Bezel 1.2-Inch AMOLED Touchscreen Display Smart Watch with 41mm French Gray Case and Silicone Band,3000,4.4,3570,349.99,Escape To Nature (100% AJ8MVEQQ9DH2X),4.01,28,8,0753759314798,753759314798,010-02785-02
B0CDC6C4TQ,Garmin,232657.76,446.56,10,521,1,753759314811,010-02785-04,Garmin Venu 3S Soft Gold Stainless Steel Bezel 1.2-Inch AMOLED Touchscreen Display Smart Watch with 41mm Ivory Case and Silicone Band,2000,4.4,3570,349.99,Sports-and-Gadgets (97% AY1YC2BWA3QO7),4.01,35,10,0753759314811,753759314811,010-02785-04
B0CS48TSKZ,Garmin,220.17,220.17,1,1,0,657768917035,010-02626-13-cr,"Garmin Instinct 2, Camo-Edition, GPS Outdoor Watch, Multi-GNSS Support, Tracback Routing, Graphite Camo (Renewed), 45 MM",,4.6,90,219.99,Escape To Nature (100% AJ8MVEQQ9DH2X),4.01,24.59,0,0657768917035,657768917035,010-02626-13-cr
B0B3PNFK9H,Garmin,153559.75,105.25,8,1459,0.114,753759300883,010-13118-00,"Garmin HRM-Pro Plus, Premium Chest Strap Heart Rate Monitor, Captures Running Dynamics, Transmits via ANT+ and BLE - 010-13118-00",1000,4.6,6724,104.99,Westronique (98% A2GH7KLQIV94GU),4.01,15.75,6,0753759300883,753759300883,010-13118-00
B0DN6Y991M,Garmin,519931.72,116.42,7,4466,1,753759346898,010-13118-05,"Garmin HRM-Pro Plus, Premium Chest Strap Heart Rate Monitor, Captures Running Dynamics, Transmits via ANT+ and BLE (010-13118-05)",4000,4.7,143,115.77,Amazon,4.01,16.27,7,0753759346898,753759346898,010-13118-05
B092RCLKHN,Garmin,501914.55,163.65,11,3067,1,753759279608,010-02562-00,"Garmin Forerunner 55, GPS Running Watch with Daily Suggested Workouts, Up to 2 weeks of Battery Life, Black - 010-02562-00",3000,4.6,4055,166.85,Stavvy Sales (100% A1DGBLXYNEW9LX),4.01,13.35,10,0753759279608,753759279608,010-02562-00
B09PSKG7C3,Garmin,678032.42,304.46,24,2227,1,753759281236,010-02602-00,"Garmin inReach Mini 2, Lightweight and Compact Satellite Communicator, Hiking Handheld, Orange - 010-02602-00",2000,4.5,1392,305,Digital Village (90% A762DAYKU2MSF),4.26,24.4,21,0753759281236,753759281236,010-02602-00
B07HP7P4JT,Garmin,,,,Not in SS,,,,"Smartwatch GARMIN Vivoactive 3 1,2in GPS Waterproof 5 ATM Glonass Black Stainless Steel (Renewed)",100,4.2,275,109.99,Escape To Nature (100% AJ8MVEQQ9DH2X),5.1,8.8,0,0603784385013,603784385013,010-01769-00-cr
B0CG6NR413,Garmin,691900.16,230.02,19,3008,1,753759324902,010-02862-10,"Garmin vívoactive 5, Health and Fitness GPS Smartwatch, AMOLED Display, Up to 11 Days of Battery, Black",2000,4.4,5305,233.48,Amazon,4.01,18.68,18,0753759324902,753759324902,010-02862-10
B0CP9C4RKN,Garmin,256034.2,237.95,8,1076,1,753759324711,010-02839-00,"Garmin Lily 2, Small and Stylish Smartwatch, Hidden Display, Patterned Lens, Up to 5 Days Battery Life, Coconut",1000,4.2,469,199.99,Sports-and-Gadgets (97% AY1YC2BWA3QO7),4.01,16,6,0753759324711,753759324711,010-02839-00
B0D79FQWJJ,Garmin,,,,Not in SS,,,,"Garmin vívosmart® 5, Fitness Tracker, Long-Lasting Battery, Simple Design, Black (Renewed)",,4.6,3,139.99,Tech Geeks (93% A1E9A3DEYVWP2E),4.26,11.2,1,0796575677814,796575677814,010-02645-00-cr
B0CG6NBJ61,Garmin,715113.3,233.85,13,3058,1,753759324919,010-02862-11,"Garmin vívoactive 5, Health and Fitness GPS Smartwatch, AMOLED Display, Up to 11 Days of Battery, Ivory",3000,4.4,5305,238,Amazon,4.01,19.04,8,0753759324919,753759324919,010-02862-11
B0CDC6H66Y,Garmin,221335.09,440.03,12,503,1,753759314743,010-02784-01,Garmin Venu 3 Slate Stainless Steel Bezel 1.4-Inch AMOLED Touchscreen Display Smart Watch with 45mm Black Case and Silicone Band,1000,4.4,3570,349.99,Certified Brands (97% A3OFPW0FX55M8T),4.01,28,8,0753759314743,753759314743,010-02784-01
B08X1L2CDK,Garmin,94075.05,182.67,15,515,1,753759275389,010-02472-00,"Garmin Approach S12, Easy-to-Use GPS Golf Watch, 42k+ Preloaded Courses, Black, 010-02472-00",500,4.5,2549,149.99,Sports-and-Gadgets (97% AY1YC2BWA3QO7),4.01,12,16,0753759275389,753759275389,010-02472-00
B0CT3VBDTV,Garmin,285557.04,239.16,5,1194,1,753759326609,010-02863-21,"Garmin Forerunner 165, Running Smartwatch, Colorful AMOLED Display, Training Metrics and Recovery Insights, Whitestone",1000,4.7,406,199.99,Sports-and-Gadgets (97% AY1YC2BWA3QO7),4.01,16,3,0753759326609,753759326609,010-02863-21
B07FN7QDCR,Garmin,,,,Not in SS,,,,Garmin vívoactive 3 GPS Smartwatch - White & Stainless (Renewed),50,4.3,219,129.99,Escape To Nature (100% AJ8MVEQQ9DH2X),4.66,10.4,0,0748926488921,748926488921,010-01769-21-cr
B0BS2F6DJ3,Garmin,240451.26,442.82,9,543,1,753759313692,010-02810-04,"Garmin Forerunner 265S Running Smartwatch, Colorful AMOLED Display, Training Metrics and Recovery Insights, Whitestone and Neo Tropic 42 mm",1000,4.7,261,349.99,Sports-and-Gadgets (97% AY1YC2BWA3QO7),4.01,28,9,0753759313692,753759313692,010-02810-04
B0BS1TP8TJ,Garmin,100380.24,567.12,8,177,0.978,753759313852,010-02809-02,"Garmin Forerunner® 965 Running Smartwatch, Colorful AMOLED Display, Training Metrics and Recovery Insights, Amp Yellow and Black",200,4.6,254,499.99,The PlayBetter Store (96% A1M8B88YR0AAGH),4.01,40,5,0753759313852,753759313852,010-02809-02
B0DDM7PFLW,Garmin,345788.53,131.93,8,2621,1,753759334543,010-02899-00,"Garmin Dash Cam™ Mini 3, Ultracompact 1080p HD Dash Cam with a 140-degree Field of View, Built in Clarity™ Polarizer, Voice Controlled, Automatic Recording",1000,4.1,380,139.99,DirectSupplyClub (99% A14WNZUZC1YICU),4.01,11.2,9,0753759334543,753759334543,010-02899-00
B0BS1XZY7T,Garmin,605977.19,561.61,12,1079,1,753759313838,010-02809-00,"Garmin Forerunner® 965 Running Smartwatch, Colorful AMOLED Display, Training Metrics and Recovery Insights, Black and Powder Gray, 010-02809-00",1000,4.6,793,499.99,Certified Brands (97% A3OFPW0FX55M8T),4.01,40,13,0753759313838,753759313838,010-02809-00
B0CWB662HK,Garmin,153267.84,290.28,12,528,1,753759326616,010-02863-30,"Garmin Forerunner 165 Music, Running Smartwatch, Colorful AMOLED Display, Training Metrics and Recovery Insights, Music on Your Wrist, Black",500,4.5,329,249.99,The PlayBetter Store (96% A1M8B88YR0AAGH),4.01,20,7,0753759326616,753759326616,010-02863-30
B092RH28GN,Garmin,214919.1,168.3,6,1277,1,753759279615,010-02562-01,"Garmin Forerunner 55, GPS Running Watch with Daily Suggested Workouts, Up to 2 weeks of Battery Life, White",1000,4.6,4055,167.99,Stavvy Sales (100% A1DGBLXYNEW9LX),4.01,13.44,6,0753759279615,753759279615,010-02562-01
B07N3C5WRG,Garmin,124839.96,53.88,7,2317,0.217,753759223137,010-12883-00,"Garmin HRM-Dual Heart Rate Monitor, Black - 010-12883-00",2000,4.2,22946,59.9,Top Sports (99% A3V25H3S1O04O9),4.01,8.99,6,0753759223137,753759223137,010-12883-00
