EAN,Supplier Name,Cost,MOQ,Lead Time,Payment Terms
8.90E+12,Global Electronics,65.5,50,7 days,Net 30
8.90E+12,TechSupply Co,68.75,25,5 days,Net 45
8.90E+12,SecureVision Inc,42.25,30,4 days,Net 30
8.90E+12,Smart Home Distributors,45.5,20,6 days,Net 60
8.90E+12,Organic Imports,15.75,100,10 days,Net 30
8.90E+12,Tea Direct,16.5,50,7 days,Net 45
8.90E+12,Sports Wholesale,22.5,40,5 days,Net 30
8.90E+12,Lightning Solutions,18.25,60,4 days,Net 30
8.90E+12,Beauty Supply Co,13.5,75,6 days,Net 45
8.90E+12,EcoProducts Ltd,11.25,100,8 days,Net 30
8.90E+12,Gaming Gear Direct,28.75,50,5 days,Net 30
8.90E+12,Kitchen Essentials,23.5,40,6 days,Net 45
8.90E+12,Pro Supply,38.25,30,4 days,Net 30
8.90E+12,Pro Beauty Supply,38.25,30,4 days,Net 20
qwert,Pro  Supply,23.5,30,5 days,Net 20
