EAN,Supplier Name,Cost,MOQ,Lead Time,Payment Terms
8900000000001,Global Electronics,65.5,50,7 days,Net 30
8900000000000,TechSupply Co,68.75,25,5 days,Net 45
8900000000000,SecureVision Inc,42.25,30,4 days,Net 30
8900000000000,Smart Home Distributors,45.5,20,6 days,Net 60
8900000000000,Organic Imports,15.75,100,10 days,Net 30
8900000000000,Tea Direct,16.5,50,7 days,Net 45
8900000000005,Sports Wholesale,22.5,40,5 days,Net 30
8900000000000,Lightning Solutions,18.25,60,4 days,Net 30
8900000000000,Beauty Supply Co,13.5,75,6 days,Net 45
8900000000000,EcoProducts Ltd,11.25,100,8 days,Net 30
8900000000000,Gaming Gear Direct,28.75,50,5 days,Net 30
8900000000004,Kitchen Essentials,23.5,40,6 days,Net 45
8900000000003,Pro Supply,38.25,30,4 days,Net 30
8900000000002,Pro Beauty Supply,38.25,30,4 days,Net 20
qwert,Pro  Supply,23.5,30,5 days,Net 20
