Supplier Name,Product name,MPN,Supplier Cost,Supplier stock,Brand
Wortmann,"SSD 2.5"" WD ULTRASTAR SN655  3.84TB (PCIe 4.0/NVMe)###",0TS2461,520.80,38,Western Digital
Wortmann,"SSD 2.5"" WD ULTRASTAR SN655  7.68TB (PCIe 4.0/NVMe)###",0TS2462,918.40,26,Western Digital
Wortmann,"SSD 2.5"" WD ULTRASTAR SN655 15.36TB (PCIe 4.0/NVMe)###",0TS2463,1618.40,13,Western Digital
Wortmann,"WD HD2.5"" SATA3 1TB WD10SPZX /5.4k/ 7mm###***",WD10SPZX,44.80,506,Western Digital
Wortmann,"WD HD2.5"" SATA3 500GB WD5000LPZX /5.4k/ 7mm###***",WD5000LPZX,28.00,569,Western Digital
Wortmann,"WD HDex 2.5"" USB3 1TB Elements Portable black ",WDBUZG0010BBK-WESN,54.60,740,Western Digital
Wortmann,"WD HDex 2.5"" USB3 2TB Elements Portable black",WDBU6Y0020BBK-WESN,66.64,543,Western Digital
Wortmann,"WD HDex 2.5"" USB3 4TB Elements Portable black",WDBU6Y0040BBK-WESN,102.48,"1,133",Western Digital
Wortmann,"WD HDex 2.5"" USB3 1.5TB Elements Portable black***",WDBU6Y0015BBK-WESN,61.60,"2,447",Western Digital
Wortmann,"WD HDex 3.5"" USB3 10TB Elements Desktop black",WDBWLG0100HBK-EESN,201.60,317,Western Digital
Wortmann,"WD HDex 2.5"" USB3 5TB My Passport Black",WDBPKJ0050BBK-WESN,117.04,339,Western Digital
Wortmann,"WD HDex 2.5"" USB3 4TB My Passport Black",WDBPKJ0040BBK-WESN,108.36,414,Western Digital
Wortmann,"WD HDex 2.5"" USB3 2TB My Passport Black",WDBYVG0020BBK-WESN,72.24,647,Western Digital
Wortmann,"WD HDex 2.5"" USB3 1TB My Passport Black",WDBYVG0010BBK-WESN,59.36,397,Western Digital
Wortmann,"WD HDex 2.5"" USB3 4TB My Passport Red",WDBPKJ0040BRD-WESN,108.08,105,Western Digital
Wortmann,"WD HDex 2.5"" USB3 2TB My Passport Red",WDBYVG0020BRD-WESN,72.24,128,Western Digital
Wortmann,"WD HDex 2.5"" USB3 4TB My Passport Blue",WDBPKJ0040BBL-WESN,106.40,250,Western Digital
Wortmann,"WD HDex 2.5"" USB3 2TB My Passport Blue",WDBYVG0020BBL-WESN,69.44,307,Western Digital
Wortmann,"WD HDex 3.5"" USB3 12TB Elements Desktop black",WDBWLG0120HBK-EESN,253.12,95,Western Digital
Wortmann,"WD HDex 3.5"" USB3 14TB Elements Desktop black",WDBWLG0140HBK-EESN,260.96,89,Western Digital
Wortmann,"WD HDex 3.5"" USB3 6TB Elements Desktop black",WDBWLG0060HBK-EESN,140.00,174,Western Digital
Wortmann,"WD HDex 3.5"" USB3 12TB My Book black",WDBBGB0120HBK-EESN,252.00,73,Western Digital
Wortmann,WD SSDEX USB3.2 My Passport SSD 1TB Space Gray,WDBAGF0010BGY-WESN,93.52,40,Western Digital
Wortmann,WD SSDEX USB3.2 My Passport SSD 2TB Space Gray,WDBAGF0020BGY-WESN,142.24,35,Western Digital
Wortmann,WD SSDEX USB3.2 My Passport SSD 4TB Space Gray,WDBAGF0040BGY-WESN,266.56,24,Western Digital
Wortmann,"WD HDex 3.5"" USB3 16TB My Book black",WDBBGB0160HBK-EESN,306.32,101,Western Digital
Wortmann,"WD HDex 2.5"" USB3 5TB Elements Portable black",WDBU6Y0050BBK-WESN,111.72,259,Western Digital
Wortmann,"WD HDex 3.5"" USB3 18TB Elements Desktop black",WDBWLG0180HBK-EESN,347.20,15,Western Digital
Wortmann,"WD HDex 3.5"" USB3 20TB Elements Desktop black",WDBWLG0200HBK-EESN,372.96,182,Western Digital
Wortmann,"WD HDex 3.5"" USB3 14TB My Book black",WDBBGB0140HBK-EESN,291.20,74,Western Digital
Wortmann,"WD HDex 3.5"" USB3 18TB My Book black",WDBBGB0180HBK-EESN,347.20,134,Western Digital
Wortmann,"WD HDex 3.5"" USB3 22TB My Book black",WDBBGB0220HBK-EESN,446.88,54,Western Digital
Wortmann,"WD HDex 3.5"" USB3 22TB Elements Desktop black",WDBWLG0220HBK-EESN,414.40,33,Western Digital
Wortmann,"WD HDex 2.5"" USB3 6TB My Passport Silicon Gray",WDBY3J0060BGY-WESN,152.88,14,Western Digital
Wortmann,"WD HDex 2.5"" USB3 6TB My Passport Black",WDBR9S0060BBK-WESN,152.88,83,Western Digital
Wortmann,"WD HDex 3.5"" USB3 8TB Elements Desktop black",WDBWLG0080HBK-EESN,160.16,182,Western Digital
Wortmann,"WD HDex 3.5"" USB3 4TB Elements Desktop black",WDBWLG0040HBK-EESN,105.28,62,Western Digital
Wortmann,"WD HDex 3.5"" USB3 4TB My Book black ",WDBBGB0040HBK-EESN,110.32,145,Western Digital
Wortmann,"WD HDex 3.5"" USB3 6TB My Book black ",WDBBGB0060HBK-EESN,135.52,368,Western Digital
Wortmann,"WD HDex 3.5"" USB3 8TB My Book black ",WDBBGB0080HBK-EESN,166.32,183,Western Digital
Wortmann,"WD HD3.5"" SATA3 1TB WD10EZEX / 7.2k ~~~***",WD10EZEX,49.28,46,Western Digital
Wortmann,"WD HD3.5"" SATA3-Raid 2TB WD2005FBYZ/ WD Gold~~~",WD2005FBYZ,116.20,102,Western Digital
Wortmann,"WD HD2.5"" SATA3 2TB WD20SPZX /5.4k/ 7mm ###",WD20SPZX,81.20,107,Western Digital
Wortmann,"WD HD3.5"" SATA3 10TB WD101EFBX / 24x7 / NAS ~~~***",WD101EFBX,227.08,16,Western Digital
Wortmann,"WD HD3.5"" SATA3-Raid  4TB HUS726T4TALE6L4/512e (Di)",0B36040,143.36,93,Western Digital
Wortmann,"WD HD3.5"" SATA3 1TB WD11PURZ / Surveillance~~~",WD11PURZ,46.76,33,Western Digital
Wortmann,"WD SSD 2.5"" 500GB Blue SATA3 ~~~",WDS500G3B0A,32.48,156,Western Digital
Wortmann,WD SSD M.2 (2280) 2TB Black SN850X PCIe 4.0/NVMe ~~~,WDS200T2X0E,136.64,40,Western Digital
Wortmann,WD SSD M.2 (2280) 1TB Black SN850X PCIe 4.0/NVMe ~~~,WDS100T2X0E,80.08,36,Western Digital
Wortmann,"WD SSD 2.5"" 1TB Blue SATA3 ~~~",WDS100T3B0A,55.44,99,Western Digital
Wortmann,WD SSD M.2 (2280) 2TB Black SN770 PCIe 4.0/NVMe ~~~***,WDS200T3X0E,109.20,11,Western Digital
Wortmann,"WD SSD 2.5"" 4TB Red / NAS 24x7 /SATA3 ~~~",WDS400T2R0A,300.16,19,Western Digital
Wortmann,WD SSD M.2 (2280) 1TB Black SN770 PCIe 4.0/NVMe ~~~***,WDS100T3X0E,61.32,20,Western Digital
Wortmann,"WD HD3.5"" SATA3 2TB WD2002FFSX / 24x7 / NAS~~~***",WD2002FFSX,95.48,16,Western Digital
Wortmann,"WD HD3.5"" SATA3 12TB WD120EFBX / 24x7 / NAS~~~***",WD120EFBX,241.36,42,Western Digital
Wortmann,"WD HD3.5"" SATA3 4TB WD40EFPX / 24x7 / NAS ~~~",WD40EFPX,99.40,411,Western Digital
Wortmann,"WD HD3.5"" SATA3 6TB WD60EFPX / 24x7 / NAS ~~~",WD60EFPX,139.16,184,Western Digital
Wortmann,"WD HD3.5"" SATA3 4TB WD43PURZ / Surveillance ~~~",WD43PURZ,90.44,77,Western Digital
Wortmann,"WD HD3.5"" SATA3 2TB WD20EFPX / 24x7 / NAS ~~~",WD20EFPX,80.92,120,Western Digital
Wortmann,"WD HD3.5"" SATA3 8TB WD80EFPX / 24x7 / NAS ~~~",WD80EFPX,177.52,108,Western Digital
Wortmann,"WD HD3.5"" SATA3 14TB WD142PURP / Surveillance~~~",WD142PURP,382.48,21,Western Digital
Wortmann,"WD HD3.5"" SATA3 8TB WD85PURZ / Surveillance ~~~",WD85PURZ,183.12,26,Western Digital
Wortmann,"WD HD3.5"" SATA3 4TB WD4005FFBX / 24x7 /NAS ~~~",WD4005FFBX,127.40,163,Western Digital
Wortmann,"WD HD3.5"" SATA3 8TB WD8005FFBX / 24x7 /NAS ~~~",WD8005FFBX,208.60,33,Western Digital
Wortmann,"WD HD3.5"" SATA3 6TB WD6005FFBX / 24x7 / NAS~~~",WD6005FFBX,181.72,24,Western Digital
Wortmann,"WD HD3.5"" SATA3 26TB WD260KFGX / 24x7 / NAS (Di)",WD260KFGX,687.96,10,Western Digital
Wortmann,WD SSD M.2 (2280) 500GB Red / NAS 24x7 /SATA3 (Di),WDS500G1R0B,52.08,45,Western Digital
Wortmann,WD SSD M.2 (2280) 1TB Black SN850X PCIe 4.0/NVMe (Di),WDS100T2X0E,84.00,53,Western Digital
Wortmann,Ubiquiti Access-Point UniFi Mesh UAP-AC-M 802.11ac,UAP-AC-M,91.73,215,Ubiquiti 
Wortmann,Ubiquiti Access-Point UniFi UAP-AC-HD 802.11ac Wave 2 ***,UAP-AC-HD,173.49,125,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 16xRJ45 GBit/2xSFP Managed 8xPoE 42W Gen2,USW-16-POE,278.88,209,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 24xRJ45 GBit/2xSFP Managed 16xPoE 95W Gen2,USW-24-POE,379.68,18,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 48xRJ45 GBit/4xSFP Managed 32xPoE 195W Gen2,USW-48-POE,558.88,156,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 24xRJ45 GBit/2xSFP+ Managed PoE+ 400W Gen2,USW-PRO-24-POE,648.48,303,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 48xRJ45 GBit/4xSFP+ Managed PoE+ 600W Gen2,USW-PRO-48-POE,1006.88,378,Ubiquiti 
Wortmann,Ubiquiti UniFi Cloud Key Gen2 Controller with Hybrid Cloud,UCK-G2,128.69,"1,256",Ubiquiti 
Wortmann,Ubiquiti UniFi Cloud Key Gen2 Plus Controller with Hybrid Cloud (incl. 1TB HDD),UCK-G2-PLUS,201.49,204,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 24xRJ45 GBit/2xSFP+ Managed Gen2,USW-PRO-24,386.29,100,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 48xRJ45 GBit/4xSFP+ Managed Gen2,USW-PRO-48,576.69,15,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 24xRJ45 GBit/2xSFP Managed Gen2,USW-24,227.25,10,Ubiquiti 
Wortmann,Ubiquiti UniFi Dream Machine Pro UDM-PRO (Sec. Gateway/Netw. Appliance),UDM-PRO,365.01,264,Ubiquiti 
Wortmann,"Ubiquiti UniFi Dream Machine UDM (WiFi AP, 4-Port Switch, Security Gateway)",UDM,302.29,64,Ubiquiti 
Wortmann,Ubiquiti PoE Adapter/Injector POE-48-24W-G 48VDC 24W Gigabit,POE-48-24W-G,14.00,150,Ubiquiti 
Wortmann,Ubiquiti UniFi Cloud Key Gen2 Rackmount Kit,CKG2-RM,96.88,65,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 5xRJ45 GBit Compact (inkl. NT),USW-FLEX-MINI,29.01,372,Ubiquiti 
Wortmann,Ubiquiti Camera G4 Bullet 4MP UVC-G4-BULLET,UVC-G4-BULLET,189.28,15,Ubiquiti 
Wortmann,Ubiquiti Camera G4 Dome 4MP UVC-G4-DOME,UVC-G4-DOME,190.29,25,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 28xSFP+ 10GBit/4xSFP28 25GBit Managed,USW-PRO-AGGREGATION,805.28,176,Ubiquiti 
Wortmann,Ubiquiti Access-Point UniFi Mesh UAP-AC-M 802.11ac (5er-Pack),UAP-AC-M-5,458.08,13,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 8xSFP+ 10GBit Managed,USW-AGGREGATION,255.25,59,Ubiquiti 
Wortmann,Ubiquiti Ethernet Surge Protector ETH-SP-G2 (max. 1Gigabit),ETH-SP-G2,11.76,16,Ubiquiti 
Wortmann,Ubiquiti Access-Point UniFi U6-LR Long-Range 802.11ax (ohne PoE-Adapter),U6-LR,181.33,"1,129",Ubiquiti 
Wortmann,Ubiquiti Access-Point UniFi UAP-FLEXHD 802.11ac,UAP-FLEXHD,183.68,16,Ubiquiti 
Wortmann,"Ubiquiti Switch UniFi 12xRJ45 2,5G/12xRJ45 1G/2xSFP+ 10G Managed PoE+",USW-ENTERPRISE-24-POE,805.28,49,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 5xRJ45 GBit PoE Indoor/Outdoor,USW-FLEX,100.69,62,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 16xRJ45 GBit Managed 8xPoE 45W,USW-LITE-16-POE,199.92,131,Ubiquiti 
Wortmann,Ubiquiti Access-Point UniFi UAP-IW-HD 802.11ac (In-Wall),UAP-IW-HD,161.28,23,Ubiquiti 
Wortmann,"Ubiquiti Switch UniFi 48xRJ45 2,5G/4xSFP+ 10G Managed PoE+",USW-ENTERPRISE-48-POE,1454.88,130,Ubiquiti 
Wortmann,"Ubiquiti Switch UniFi 8xRJ45 2,5G/2xSFP+ 10G Managed PoE+",USW-ENTERPRISE-8-POE,461.44,20,Ubiquiti 
Wortmann,Ubiquiti Switch UniFi 24xRJ45 10G/2xSFP28 25G Managed,USW-ENTERPRISEXG-24,1342.88,48,Ubiquiti 
Wortmann,"Ubiquiti PoE Adapter/Injector U-POE-AF 48VDC 15,4W Gigabit",U-POE-AF,8.40,584,Ubiquiti 
