Supplier Name,Product Name,Brand,MPN,EAN,Supplier stock,Supplier Cost,,,,,,,,
Nektova,Amazon Adjustable Stand for Echo Show 8 (3rd Gen) with USB-C Charging Port ( Black),Amazon,B0BVP386MC,8.40269E+11,194,$15.00 ,,Supplier Name,Brand,Product name,EAN,MPN,Supplier Cost,Supplier stock
Nektova,Amazon Echo Show 5 Kids (3rd Generation) - Galaxy,Amazon,B09B2SB77Q,8.40081E+11,124,$55.00 ,,,,,,,,
Nektova,Amazon Echo Show 5 Kids (3rd Generation) - Galaxy - Ca Spec,Amazon,8.40269E+11,8.40269E+11,660,$55.00 ,,,,,,,,
Nektova,Amazon Fire 7 Kids  (2022)  tablet with Wi-Fi 16 GB - Red,Amazon,B0BL8T7R1T,8.40081E+11,14,$62.00 ,,,,,,,,
Nektova,Amazon Fire 7 Kids  (2022) tablet with Wi-Fi 16 GB - Blue,Amazon,B0BLBLRLJB,8.40269E+11,11,$62.00 ,,,,,,,,
Nektova,Amazon Fire HD 10 Kids Tablet (2023 Release) - 32GB with Wi-Fi - Blue,Amazon,B0BL5SZ3VV,8.40269E+11,"1,000+",$89.00 ,,,,,,,,
Nektova,Amazon Fire HD 8 32GB Tablet - Black - CA,Amazon,Firehd8blkCa,8.40415E+11,14,$57.00 ,,,,,,,,
Nektova,Amazon Fire HD 8 tablet - 3GB memory - 32GB (2024) - Black,Amazon,B0CVDN4QS6,8.40415E+11,"1,000+",$55.00 ,,,,,,,,
Nektova,Amazon Fire HD 8 tablet - 3GB memory - 32GB (2024) - Hibiscus,Amazon,B0CVD9FV99,8.40415E+11,288,$55.00 ,,,,,,,,
Nektova,Amazon Fire HD 8 Tablet - 64 GB (2022 release)  Black,Amazon,B09BG56K7R,8.40081E+11,57,$63.00 ,,,,,,,,
Nektova,Amazon Fire HD 8 Tablet - 64 GB (2022 release)  Denim,Amazon,B09BG5LXHH,8.40081E+11,112,$63.00 ,,,,,,,,
Nektova,"Amazon Fire HD 8 tablet,  32 GB,  (2022 release), Black",Amazon,B099Z8HLHT,8.40081E+11,13,$62.00 ,,,,,,,,
Nektova,Amazon Fire TV Blaster - Add Alexa voice controls for power and volume on your TV and soundbar,Amazon,B075F9PYGR,8.41667E+11,114,$19.00 ,,,,,,,,
Nektova,"Amazon Fire TV Stick HD, free and live TV, Alexa Voice Remote, smart home controls, HD streaming (2024) - Black",Amazon,B0CQMRKRV5,8.40415E+11,"1,000+",$26.00 ,,,,,,,,
Nektova,"Amazon Kindle Colorsoft Signature Edition (32 GB) – With color display, wireless charging, and long battery life - 2024 - Metallic Black",Amazon,B0CN3XR57P,8.40269E+11,236,$258.00 ,,,,,,,,
