ASIN,Brand,Est. Monthly Revenue,Price,FBA Sellers,Est. Monthly Units Sold,Amazon In-Stock Rate,Product name,Bought in past month,Reviews: Rating,Reviews: Review Count,Buy Box: Current,Buy Box Seller,FBA Fees:,Referral Fee based on current Buy Box price,"Count of retrieved live offers: New, FBA",Product Codes: EAN,Product Codes: UPC,Product Codes: PartNumber
B086QC62JR,AT&T,175370.4,99.36,2,1765,1,"AT&T BL102-4 DECT 6.0 4-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",1000,4.2,29390,95.54,Amazon,6.48,7.64,2,650530032547,0650530032547,BL102-4
B09QFXK36T,AT&T,15300.85,39.95,1,383,1,"AT&T BL102 DECT 6.0 Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",400,4.2,29388,39.95,Amazon,5.52,3.2,1,650530033322,0650530033322,BL102
B086QB7WZ1,AT&T,316305.1,53.83,1,5876,1,"AT&T BL102-2 DECT 6.0 2-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",5000,4.2,29389,56.95,Amazon,5.77,4.56,1,650530032554,0650530032554,BL102-2
B086QCGQ8C,AT&T,209342.4,76.57,4,2734,1,"AT&T BL102-3 DECT 6.0 3-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",2000,4.2,29388,70.96,Amazon,7.24,5.68,4,650530032578,0650530032578,BL102-3
B0BQYDSD1B,AT&T,106275.7,119.95,1,886,1,"AT&T BL102-5 DECT 6.0 5-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",800,4.2,29388,119.95,Amazon,7.16,9.6,1,650530033537,0650530033537,BL102-5
B0CNKY6NWV,AT&T,13175.55,77.05,2,171,0,AT&T C71KW Osprey OTT Client 4K Wireless Streaming Player Receiver (Renewed),100,4.4,64,75.99,Techa Distribution (99% A2CZTDJTS77U7N),5.66,6.08,0,795850795007,0795850795007,
B09R1QDLH6,AT&T,10177.01,16.99,2,599,1,"AT&T TRIMLINE 210 Corded Home Phone, No AC Power Required, Improved Easy-wall-mount, Lighted Big Button Keypad, 13 SpeedDial Keys, Last Number Redial, Mute, Flash, Volume Control, Princess Phone, PINK",500,4.2,22987,16.99,Amazon,4.9,1.36,1,650530033100,0650530033100,210 Pink
B09R1RKWPM,AT&T,33532.53,16.91,1,1983,1,"AT&T TRIMLINE 210 Corded Home Phone, No AC Power Required, Improved Easy-Wall-Mount, Lighted Big Button Keypad, 13 SpeedDial Keys, Last Number Redial, Mute, Flash, Volume Control, Beige",1000,4.2,22987,16.99,Amazon,4.9,1.36,1,650530033117,0650530033117,210 Beige
B00005MITU,AT&T,8694.21,21.79,1,399,1,"AT&T 210 Basic Trimline Corded Phone, No AC Power Required, Wall-Mountable, Black",300,4.2,22987,22.45,Amazon,4.99,1.8,1,650530930409,0650530930409,210BK
B00N22M0XS,AT&T,63805,36.46,2,1750,1,"AT&T EL51203 2 Handset DECT 6.0 Cordless Home Phone Full-Duplex Handset Speakerphone, Backlit Display, Lighted Keypad, Caller ID/Call Waiting, Phonebook, Eco Mode, Voicemail Key, Quiet Mode,Intercom",1000,4.3,36744,35.99,Amazon,5.63,2.88,1,650530025914,0650530025914,EL51203
