ASIN,Brand,Est. Monthly Revenue,Price,FBA Sellers,Est. Monthly Units Sold,Amazon In-Stock Rate,Product name,Bought in past month,Reviews: Rating,Reviews: Review Count,Buy Box: Current,Buy Box Seller,FBA Fees:,Referral Fee based on current Buy Box price,"Count of retrieved live offers: New, FBA",Product Codes: EAN,Product Codes: UPC,Product Codes: PartNumber
B00HSH5W3I,BELL,5325.24,26.76,1,199,1,Avengers Iron Man 3D Hero,100,4.7,11911,24.96,Amazon,7.56,3.74,1,847268006517,847268006517,8032883
B016LVXN7S,BELL,16771.01,20.99,1,799,1,Spider-man Spidey Eyes,700,4.7,11910,20.99,Amazon,7.64,3.15,1,35011968278,35011968278,7073384
B01M4O0DRB,BELL,25249.98,22.83,1,1106,1,Spider-man Web Shatter Mohawk,1000,4.7,11910,21.4,Amazon,8.36,3.21,1,35011973128,35011973128,7081692
B0D3JBQ3Z4,BELL,4590.93,23.07,1,199,0.963,Miles Morales,100,4.7,12539,21.4,Amazon,8.28,3.21,1,35011987682,35011987682,7136598
B07R1D4WYV,BELL,9675.61,19.39,1,499,1,Spider-man Shooting & Swinging,400,4.7,12539,19.99,Amazon,7.64,3,1,35011978659,35011978659,7096424
B00HSH5VV6,BELL,21845.7,24.3,1,899,1,Spider-man 3D Hero,800,4.7,11910,24.99,Amazon,7.48,3.75,1,847268006357,847268006357,10500001
B01AKV887A,BELL,4489.44,22.56,1,199,1,Spider-man Spidey Mind,100,4.7,12540,21.4,Amazon,7.4,3.21,1,35011968261,35011968261,7073383
B00MP8PKDC,BELL,4567.05,22.95,1,199,1,Spider-man 3D Web-slinger,100,4.7,12539,21.4,Amazon,7.72,3.21,1,35011960593,35011960593,7059833
B00TKV2USA,BELL,,,,,,"BELL 7063302 Adult Reflex Helmet, Solid Dark Titanium",700,4.3,836,15.07,Amazon,7.64,2.26,1,35011963266,35011963266,7063302
B07FPY8VJ2,BELL,15414.54,77.46,1,199,0.914,"Bell Mini Shell Front Carrier in Gray, gray mini shell front carrier, one size",100,4.2,623,79.99,Amazon,15.89,12,1,35011975610,35011975610,7091046
B000ISXSSA,BELL,75050.55,39.15,2,1917,1,Bell Cocoon 300 Child Bicycle Carrier,1000,4.2,3584,39,Amazon,18.17,5.85,1,35011005973,35011005973,1002473
B016LVXL5M,BELL,15149.64,19.96,1,759,1,"BELL Princess PRINCESSES RULE Toddler Helmet , Princesses Rule Purple , Toddler (3-5 yrs.) (7073381)",700,4.6,2879,19.96,Amazon,7.72,2.99,1,35011968247,35011968247,7073381
B00MP8PK2S,BELL,9514.8,26.43,1,360,1,"Disney Princess 3D Tiara Child Bike Helmet, Pink by Bell",300,4.6,2879,25.67,Amazon,7.48,3.85,1,35011960586,35011960586,7059830
B09QRD2SL5,BELL,,,,,,BELL Qualifier Full-Face Motorcycle Helmet (Ascent Matte Black/Cyan/White - Small),,4.5,4135,129.95,"Zentra, LLC (99% A3DMYIN9K0RYXC)",13.23,19.49,1,768686453014,768686453014,7141862
B0DCHHS662,BELL,1039.6,129.95,1,8,0,BELL Qualifier Full-Face Motorcycle Helmet (Gloss Conduit Black/Kryptonite - Small),,4.5,4136,129.95,Movatik (99% A1F1CRO6ZMXV7T),14.93,19.49,1,196178112956,196178112956,7163652
B0DCHHQGV1,BELL,1429.45,129.95,1,11,0,BELL Qualifier Full-Face Motorcycle Helmet (Gloss Conduit Charcoal/Candy Red - Small),,4.5,4136,129.95,Movatik (99% A1F1CRO6ZMXV7T),13.61,19.49,1,196178113007,196178113007,7163657
B0CSC1RQ1M,BELL,1429.45,129.95,1,11,0,BELL Qualifier Full-Face Motorcycle Helmet (Gloss Conduit Silver/Black - Large),,4.5,4135,129.95,Powersports Monkey (94% A2EPE15NO912P),13.23,19.49,0,196178182874,196178182874,7158707
B0DCGT5B17,BELL,1689.35,129.95,1,13,0,BELL Qualifier Full-Face Motorcycle Helmet (Gloss Conduit Red/Silver - Large),,4.5,4138,129.95,Movatik (99% A1F1CRO6ZMXV7T),13.23,19.49,1,196178113076,196178113076,7163664
B00HLUWLEK,BELL,8576.7,129.95,2,66,0.012,BELL Qualifier Full-Face Motorcycle Helmet (Matte Black - X-Large),50,4.5,4138,129.95,Cycle City Inc. (98% A19I4ZA68S6T9W),13.23,19.49,3,768686515507,768686515507,7049225
B0CSBYM6LP,BELL,1039.6,129.95,1,8,0,BELL Qualifier Full-Face Motorcycle Helmet (Gloss Conduit Blue/Black - Large),,4.5,4136,129.95,Movatik (99% A1F1CRO6ZMXV7T),13.23,19.49,1,196178182775,196178182775,7158692
B00HLUWKH8,BELL,1038.24,129.78,3,8,0.012,BELL Qualifier Full-Face Motorcycle Helmet (Matte Black - Small),,4.5,4137,129.95,Movatik (99% A1F1CRO6ZMXV7T),14.55,19.49,1,768686515477,768686515477,7049222
