Supplier Name,Brand,Product name,MPN,Supplier Cost,Supplier stock
Tier one,AMD,AMD Ryzen 5 5500 Box,100-100000457BOX,"$69,38",100+
Tier one,AMD,AMD Ryzen 5 5600 Box,100-100000927BOX,"$87,69",100+
Tier one,AMD,AMD Ryzen 5 5600G Box,100-100000252BOX,"$112,11",100+
Tier one,AMD,AMD Ryzen 5 5600G Tray per 12pcs only,100-000000252,"$108,23",16
Tier one,AMD,AMD Ryzen 5 5600GT Box,100-100001488BOX,"$108,78",38
Tier one,AMD,AMD Ryzen 5 5600X Tray per 12pcs only,100-000000065,"$82,14",100+
Tier one,AMD,AMD Ryzen 5 5600X Tray per 12pcs only,100-000000065,"$82,14",100+
Tier one,AMD,AMD Ryzen 5 7500F Tray,100-000000597,"$128,21",52
Tier one,AMD,AMD Ryzen 5 7600 Box,100-100001015BOX,"$162,06",4
Tier one,AMD,AMD Ryzen 5 7600 Tray,100-000001015,"$152,63",23
Tier one,AMD,AMD Ryzen 5 7600X Tray,100-000000593,"$168,72",53
Tier one,AMD,AMD Ryzen 5 7600X3D Tray,100-000001721,"$307,47",29
Tier one,AMD,AMD Ryzen 5 8400F Tray,100-000001591,"$81,03",14
Tier one,AMD,AMD Ryzen 5 9600 Tray,100-000000718,"$211,46",72
Tier one,AMD,AMD Ryzen 5 9600 Tray,100-000000718,"$211,46",72
Tier one,AMD,AMD Ryzen 7 5700G Box,100-100000263BOX,"$131,54",24
Tier one,AMD,AMD Ryzen 7 5700X no fan Box,100-100000926WOF,"$128,76",19-05-2025
Tier one,AMD,AMD Ryzen 7 5800X no fan Box,100-100000063WOF,"$139,31",100+
Tier one,AMD,AMD Ryzen 7 7700 Box,100-100000592BOX,"$243,65",60
Tier one,AMD,AMD Ryzen 7 7700X no fan Box,100-100000591WOF,"$253,08",26
Tier one,AMD,AMD Ryzen 7 7800X3D no fan Box,100-100000910WOF,"$375,18",100+
Tier one,AMD,AMD Ryzen 7 7800X3D no fan Box,100-100000910WOF,"$375,18",100+
Tier one,AMD,AMD Ryzen 7 9700X no fan Box,100-100001404WOF,"$281,39",30
Tier one,AMD,AMD Ryzen 7 9800X3D no fan Box,100-100001084WOF,"$477,30",100+
Tier one,AMD,AMD Ryzen 7 9800X3D Tray,100-000001084,"$444,00",100+
Tier one,AMD,AMD Ryzen 7 9800X3D Tray,100-000001084,"$444,00",100+
Tier one,AMD,AMD Ryzen 9 5900XT no fan Box,100-100001581WOF,"$261,41",13
Tier one,AMD,AMD Ryzen 9 5950X no fan Box,100-100000059WOF,"$281,94",100+
Tier one,AMD,AMD Ryzen 9 5950X no fan Box,100-100000059WOF,"$281,94",100+
Tier one,AMD,AMD Ryzen 9 7950X no fan Box,100-100000514WOF,"$421,80",13
Tier one,AMD,AMD Ryzen 9 9900X no fan Box,100-100000662WOF,"$385,17",18
Tier one,AMD,AMD Ryzen 9 9950X no fan Box,100-100001277WOF,"$530,58",15
Tier one,AMD,AMD Ryzen 9 9950X3D no fan Box,100-100000719WOF,"$759,24",15-05-2025
Tier one,AMD,AMD Ryzen 9 9950X3D Tray,100-100000719,"$681,54",14-05-2025
Tier one,AMD,AMD Ryzen 9 9950X3D Tray,100-100000719,"$681,54",14-05-2025
Tier one,ASRock,ASRock AM4 A520M-HDV uATX,90-MXBE50-A0UAYZ,"$47,51",22
Tier one,ASRock,ASRock AM4 B450M Pro4 R2.0 uATX,90-MXBEG0-A0UAYZ,"$57,50",41
Tier one,ASRock,ASRock AM4 B450M-HDV R4.0 uATX,90-MXB9N0-A0UAYZ,"$44,07",33
Tier one,ASRock,ASRock AM4 B550 Phantom Gaming 4,90-MXBCY0-A0UAYZ,"$83,81",20
Tier one,ASRock,ASRock AM4 B550 Pro4 ATX,90-MXBCZ0-A0UAYZ,"$87,14",40
Tier one,ASRock,ASRock AM5 B650 PG Lightning,90-MXBK20-A0UAYZ,"$138,20",37
Tier one,ASRock,ASRock AM5 B650 Pro RS,90-MXBL10-A0UAYZ,"$140,42",76
Tier one,ASRock,ASRock AM5 B650 Steel Legend Wifi,90-MXBN90-A0UAYZ,"$170,39",34
Tier one,ASRock,ASRock AM5 B650M Pro RS,90-MXBLP0-A0UAYZ,"$121,55",21
Tier one,ASRock,ASRock AM5 X870 Pro RS,90-MXBPZ0-A0UAYZ,"$193,70",6
Tier one,ASRock,ASRock AM5 X870 Pro RS Wifi,90-MXBQ00-A0UAYZ,"$203,69",29
Tier one,ASRock,ASRock AM5 X870 Steel Legend Wifi,90-MXBPJ0-A0UAYZ,"$232,55",100+
Tier one,ASRock,ASRock B550M Pro4 uATX,90-MXBDK0-A0UAYZ,"$84,92",9
Tier one,ASRock,ASRock B550M-HDV uATX,90-MXBDJ0-A0UAYZ,"$61,38",35
Tier one,ASRock,ASRock Intel Arc B570 Challenger OC 10GB,90-GA5KZZ-00UANF,"$240,32",94
