ASIN,Brand,Est. Monthly Revenue,Price,FBA Sellers,Est. Monthly Units Sold,Amazon In-Stock Rate,Product name,Bought in past month,Reviews: Rating,Reviews: Review Count,Buy Box: Current,Buy Box Seller,FBA Fees:,Referral Fee based on current Buy Box price,"Count of retrieved live offers: New, FBA",Product Codes: EAN,Product Codes: UPC,Product Codes: PartNumber
B00J29BOKA,AudioQuest,,,,,,AudioQuest Mackenzie XLR > XLR Audio Interconnect Cable - 1m - Pair,,4.4,33,399.95,WORLD WIDE STEREO (99% AKR88PAWTQVN2),6.21,39,2,092592081536,0092592081536,MKENZIE01X
B00I17DHN6,AudioQuest,739.9,369.95,1,2,0,"AudioQuest 0.5m Mackenzie XLR Audio Cable 0.5 m XLR (3-pin) Black - Audio Cables (XLR (3-pin), XLR (3-pin), 0.5 m, Black)",,3.9,39,369.95,Audio Advice (98% A17IVE6SUAZA2P),5.77,36.59,1,092592081512,0092592081512,MKENZIE0.5X
B00J94Q2FK,AudioQuest,769.9,384.95,2,2,0,AudioQuest 0.75M PR Mackenzie XLR,,3.9,39,384.95,GRAMOPHONE (99% A2XGE4CX5AV74X),4.9,37.8,1,092592081529,0092592081529,adb2c73e-2395-4689-aab0-ea77a22d0a39
B07T3HSD9Z,AudioQuest,18594.42,199.94,7,93,0.155,AudioQuest Dragonfly Cobalt USB Digital-to-Analog Converter,50,4.4,4413,199.95,Audio Advice (98% A17IVE6SUAZA2P),3.9,22.99,6,092592098398,0092592098398,DRAGONFLYCOB
B00I78P9YY,AudioQuest,,,,,,AudioQuest Mackenzie XLR > XLR Audio Interconnect Cable - 2m - Pair,,3.9,39,459.95,Audio Advice (98% A17IVE6SUAZA2P),4.99,43.79,2,092592081550,0092592081550,MKENZIE02X
B001HXB4M2,AudioQuest,,,,,,AudioQuest Mackenzie XLR > XLR Audio Interconnect Cable - 3m - Pair,,3.9,39,519.95,Audio Advice (98% A17IVE6SUAZA2P),5.37,48.62,1,092592081574,0092592081574,MKENZIE03X
B00I4LCX7K,AudioQuest,328.76,328.76,2,1,0,AudioQuest Mackenzie XLR Audio Interconnect Cable - (Pair) 1.5m,,3.9,39,429.95,ListenUp (99% A2H3DYB5PUVNNI),4.99,41.4,1,092592081543,0092592081543,MKENZIE01.5X
B0154NLF7O,AudioQuest,596.85,25.95,1,23,0,"Ignite Pro 2X Speakon to Speakon 25 Ft. True 12 Gauge Wire AWG DJ/Pro Audio Speaker Cable, Pair",,4.4,274,25.95,AVLeaderz (99% AB9NQG7CMGWBL),7.08,3.89,1,859256005433,0859256005433,PC102/25
B00K1VWPJ2,AudioQuest,1529.5,764.75,2,2,0,AudioQuest Yukon XLR > XLR Audio Interconnect Cable - 2m - Pair,,4.2,33,765,Audio Advice (98% A17IVE6SUAZA2P),4.99,68.24,1,092592081772,0092592081772,YUKON02X
B06XDFDPH4,AudioQuest,319.8,319.8,1,1,0,AudioQuest Yukon XLR Audio Analog XLR Cable 0.75m (Pair),,4.2,32,,-,4.55,,0,092592080713,0092592080713,Yukon XLR
B00HZQOWYW,AudioQuest,,,,,,AudioQuest 2.0M PR RED River XLR,,4.3,80,339.95,WORLD WIDE STEREO (99% AKR88PAWTQVN2),4.99,34.2,2,092592081437,0092592081437,RRIVER02X
B00K1VXAIC,AudioQuest,509.94,509.94,1,1,0,AudioQuest Yukon XLR > XLR Audio Interconnect Cable - 0.5m - Pair,,4.2,32,510,Audio Advice (98% A17IVE6SUAZA2P),4.99,47.79,1,092592080706,0092592080706,YUKON0.5X
B00J94QPHU,AudioQuest,,,,,,AudioQuest Red River XLR > XLR Audio Interconnect Cable - 0.75m - Pair,,4.3,80,289.95,Audio Advice (98% A17IVE6SUAZA2P),4.99,30.21,2,092592081406,0092592081406,RRIVER0.75X
B00ICUDKPW,AudioQuest,,,,,,AudioQuest Red River XLR > XLR Audio Interconnect Cable - 0.5m - Pair,,4.3,80,279.95,Audio Advice (98% A17IVE6SUAZA2P),4.55,29.39,2,"638865858193, 092592081390","0638865858193, 0092592081390",RRIVER0.5X
B00HZQ40VW,AudioQuest,,,,,,AudioQuest 1.5M PR RED River XLR,,4.3,80,319.95,Audio Advice (98% A17IVE6SUAZA2P),4.55,32.6,4,092592081420,0092592081420,RRIVER01.5X
B000GUSQJG,AudioQuest,1097.8,24.95,3,44,0.022,AudioQuest Y splitter - one RCA male to two RCA female 6in (15.24cm) cable,,4.6,381,24.95,Electronics Expo (Authorized Dealer) (96% A1J7WSBJHTGUFA),3.9,3.74,3,092592042131,0092592042131,M22F-FLX-X
B07MXPRQC6,AudioQuest,2999.4,249.95,6,12,0,AudioQuest PowerQuest 2 6-Outlet Surge Protector (PQ2),,4.5,71,249.95,Audio Advice (98% A17IVE6SUAZA2P),7.72,26.99,6,092592098930,0092592098930,PQ2
B0072UP5J2,AudioQuest,,,,,,Audioquest XLR Caps (Output) - Set of 2,,4.4,14,39.95,Audio Advice (98% A17IVE6SUAZA2P),3.68,5.99,2,092592085343,0092592085343,adb2c73e-2395-4689-aab0-ea77a22d0a39
B09CX3VGPX,AudioQuest,,,,,,"AudioQuest Photon 48 2.1 HDMI Cable - 8K/10K Ultra HD, Gaming, High-Speed, 48Gbps, HDR, eARC - 1.5m",,4.4,62,98,[AIM USA] (97% A2W0O782CGCDH0),3.9,14.7,0,092592019232,0092592019232,.HDM48PHO
B00I0WQKEK,AudioQuest,1238.45,39.95,5,31,0,AudioQuest Forest Coax 0.75 M,,4.5,219,39.95,WORLD WIDE STEREO (99% AKR88PAWTQVN2),3.9,5.99,3,092592081017,0092592081017,COAXFOR0.75
B002A2OU5C,AudioQuest,399.5,39.95,5,10,0,"AudioQuest Power Strip Plug, Single (1) IEC Male to Three (3) IEC Female",,4.2,66,39.95,WORLD WIDE STEREO (99% AKR88PAWTQVN2),3.68,5.99,6,092592065277,0092592065277,IEC3US
B00HZPPRLA,AudioQuest,11098.15,299.95,2,37,0,"AudioQuest - Red River (XLR, 1.0m)",,3.3,24,299.95,Audio Advice (98% A17IVE6SUAZA2P),4.99,31.01,3,092592081413,0092592081413,RRIVER01X
B000F1X6AK,AudioQuest,120.63,40.21,4,3,0,AudioQuest 1.5m Pearl Optical Toslink Fiber-Optic Cable,,4.5,277,39.95,WORLD WIDE STEREO (99% AKR88PAWTQVN2),3.9,5.99,3,092592028074,0092592028074,OPTPEA01.5
B005T44LES,AudioQuest,4314.6,79.9,6,54,0,"AudioQuest Evergreen 1m 3.28 feet RCA to RCA 1m 3'4""",,4.5,1443,79.95,Audio Advice (98% A17IVE6SUAZA2P),3.9,11.99,5,092592061033,0092592061033,EVERG01R
B00HA8QHK2,AudioQuest,879.21,97.69,6,9,0,AudioQuest Cinnamon Digital Coax Cable 1.5 Metre,,4.6,115,99.95,Walts TV (95% A2K7RN1DSQCI9O),4.15,14.99,5,092592081062,0092592081062,COAXCIN01.5
B09VCPZ4JJ,AudioQuest,1259.55,139.95,2,9,0,AudioQuest Golden Gate Turntable RCA > RCA Turntable Cable + Ground Wire - 1.5M,,4.4,21,139.95,HCM Audio - Authorized Brand Dealer (99% A29BZ1S30D0GLZ),3.9,18.19,1,092592018716,0092592018716,TURNGGATE150
B086H36P7X,AudioQuest,1437.66,79.87,5,18,0,AudioQuest NRG-X3 Power Cable for Amplifiers and Power Conditioners - 3.28 ft (1m),,4.6,31,79.95,Audio Advice (98% A17IVE6SUAZA2P),5.37,11.99,2,092592097520,0092592097520,NRGX3USC131M
B000F1X6AU,AudioQuest,0,59.95,4,0,0,AudioQuest 3m Pearl Optical Toslink Fiber-Optic Cable,,4.5,277,59.95,Audio Advice (98% A17IVE6SUAZA2P),3.9,8.99,1,092592028081,0092592028081,OPTPEA03
B07DPW1R99,AudioQuest,949.2,189.84,6,5,0,AudioQuest NRG-Y3 US Power Cord Low-Distortion 3-Pole Power Cable 2 Meters,,4.5,41,189.95,Audio Advice (98% A17IVE6SUAZA2P),5.28,22.21,6,092592005761,0092592005761,NRGY3US02
B00I80CCHS,AudioQuest,2318.55,79.95,4,29,0,Audioquest - Cinnamon - Digital Coax Cable - .75 Meter,,4.6,166,79.95,Walts TV (95% A2K7RN1DSQCI9O),3.9,11.99,5,092592081055,0092592081055,COAXCIN0.75
B005TI0VMA,AudioQuest,2061.36,114.52,6,18,0,AudioQuest Golden GATE 2 x Phono Plug to 2 X Phono Plug,,4.6,354,117.17,Audio Advice (98% A17IVE6SUAZA2P),3.9,16.22,5,092592061880,0092592061880,GOLDG01R
B00EQUJZEW,AudioQuest,550.56,45.88,8,12,0,AudioQuest 0.6M Tower RCA-RCA,,4.4,813,45.95,WORLD WIDE STEREO (99% AKR88PAWTQVN2),3.9,6.89,8,092592076761,0092592076761,TOWER0.6R
B006XC59WI,AudioQuest,499.1,49.91,6,10,0,AudioQuest Forest Toslink Fiber Optic Digital Audio Cable - 2.46 ft. (.75m) Green,,4.6,495,49.95,Walts TV (95% A2K7RN1DSQCI9O),3.9,7.49,4,092592051539,"5060331940234, 0092592051539",OPTFOR0.75
B005T421IG,AudioQuest,1699.7,73.9,6,23,0.015,"AudioQuest Evergreen Stereo Cable with 4 RCA Connectors, 0.6 m",,4.5,1442,73.95,Audio Advice (98% A17IVE6SUAZA2P),7.16,11.09,1,092592060456,0092592060456,EVERG0.6R
B07NHMJC7W,AudioQuest,,,,,,AudioQuest Rocket 11 Speaker Wire - 10FT. Pair - Silver Banana Plugs - SBIWIRE,,4,1,399.95,HCM Audio - Authorized Brand Dealer (99% A29BZ1S30D0GLZ),6.21,39,1,850003175775,0850003175775,ROCK11B10SBWBS
B00FEKY01Q,AudioQuest,0,133.42,3,0,0,AudioQuest 5m Irish Red RCA Low-Frequency Subwoofer Audio Interconnect Nylon Braid,,4.5,143,133.95,Huppins (100% AAK72K4OIWDXL),4.15,17.72,2,092592078970,0092592078970,IRED05
B006NB5VBS,AudioQuest,299.75,59.95,5,5,0,AudioQuest 1.5m Forest Optical Toslink Fiber-Optic Cable + Mini-Adaptor,,4.6,495,59.95,WORLD WIDE STEREO (99% AKR88PAWTQVN2),3.9,8.99,5,"887513395768, 887513316077, 092592045453","0887513316077, 0887513395768, 0092592045453",OPTFOR01.5
B000F1X75E,AudioQuest,989.45,89.95,3,11,0.055,AudioQuest X-2 bulk speaker cable - 14 AWG 30' (9m) spool - gray jacket,,4.7,190,89.95,Walts TV (95% A2K7RN1DSQCI9O),5.77,13.49,3,092592045040,0092592045040,X-2G/30FT
B07DPX6B39,AudioQuest,1497.66,249.61,4,6,0,AudioQuest NRG-Z3 Low-Distortion 3-Pole AC Power Cable - 3.28' (1m),,4.5,96,249.95,ListenUp (99% A2H3DYB5PUVNNI),5.37,26.99,3,092592007949,0092592007949,NRGZ3US01
B086H3XZYP,AudioQuest,498.4,99.68,6,5,0,AudioQuest NRG-X3 Power Cable for Amplifiers and Power Conditioners - 6.56 ft (2m),,4.7,31,99.95,ListenUp (99% A2H3DYB5PUVNNI),4.99,14.99,5,092592097513,0092592097513,NRGX3USC132M
B005VQGQE2,AudioQuest,799.5,79.95,3,10,0.013,Audioquest Evergreen Audio Interconnect 1m (3 feet 4inches) 3.5mm to RCA,,4.3,399,79.95,Walts TV (95% A2K7RN1DSQCI9O),3.9,11.99,4,092592044722,"0092592044722, 8851641027411",EVERG01MR
B09C6N5XPG,AudioQuest,1999,99.95,3,20,0,AudioQuest PowerQuest G8 – 8-Outlet Surge Protector,,4.9,17,99.95,Walts TV (95% A2K7RN1DSQCI9O),5.52,14.99,6,092592018297,0092592018297,PQG8R
B07MXP2Z18,AudioQuest,3199.6,399.95,7,8,0.015,AudioQuest PowerQuest 3 – Power Conditioner/Non-Sacrificial Surge Protector – Power Strip – 8 Outlets – 4 USB Charging Ports (PQ3),,4.5,75,399.95,"Audio Advisor, Inc. (99% A2763VQ7SN6URD)",11.89,39,7,092592098923,0092592098923,PQ3
B000F1V9ZO,AudioQuest,0,79.83,3,0,0,AudioQuest 5m Pearl Optical Toslink Fiber-Optic Cable,,4.5,277,79.95,Walts TV (95% A2K7RN1DSQCI9O),3.9,11.99,2,092592028098,0092592028098,OPTPEA05
B005T46GGY,AudioQuest,0,95.95,4,0,0,AudioQuest - Evergreen RCA-to-RCA 2.0m,,4.5,1443,95.95,WORLD WIDE STEREO (99% AKR88PAWTQVN2),3.9,14.39,4,092592044708,0092592044708,FBA_EVERG02R
B000F20NMI,AudioQuest,559.8,139.95,3,4,0,AudioQuest X-2 bulk speaker cable 50' (15.24m) spool - gray jacket 14 AWG,,4.7,190,139.95,Walts TV (95% A2K7RN1DSQCI9O),7.48,18.19,4,092592045057,0092592045057,X-2G/50FT
B005T4QIBM,AudioQuest,0,144.22,4,0,0,AudioQuest Evergreen RCA > RCA Audio Interconnect Cable - 5m - Stereo Pair,,4.5,1443,142.09,Audio Advice (98% A17IVE6SUAZA2P),4.15,18.32,2,092592061798,0092592061798,EVERG05R
B005TI0P0S,AudioQuest,769.51,109.93,3,7,0,"AudioQuest Golden Gate Stereo Cable with 4 RCA Plugs, 0.6 m.",,4.6,301,109.95,HCM Audio - Authorized Brand Dealer (99% A29BZ1S30D0GLZ),3.9,15.8,1,092592061828,0092592061828,GOLDG0.6R
B06W5JXZR7,AudioQuest,,,,,,AudioQuest Red River XLR > XLR Audio Interconnect Cable - 3m - Single,,,,189.98,WORLD WIDE STEREO (99% AKR88PAWTQVN2),4.55,28.5,0,092592028814,0092592028814,RRIVER03XS
B005T4758W,AudioQuest,0,111.95,3,0,0,AudioQuest Evergreen RCA > RCA Audio Interconnect Cable - 3m - Stereo Pair,,4.5,1443,111.95,Huppins (100% AAK72K4OIWDXL),3.86,15.96,3,092592061767,0092592061767,EVERG03R
B00EQUJZVA,AudioQuest,0,54.93,6,0,0,"AudioQuest Tower RCA Audio Cable (2 x RCA, 2 x RCA, Copper, 1.5 m, Black)",,4.4,813,54.95,Huppins (100% AAK72K4OIWDXL),3.9,8.24,5,092592076792,0092592076792,TOWER01.5R
B005T45C1E,AudioQuest,0,87.95,5,0,0,"AudioQuest Evergreen Cable with RCA Connectors, 1.5 m",,4.5,1443,87.95,Audio Advice (98% A17IVE6SUAZA2P),3.9,13.19,5,092592060883,0092592060883,EVERG01.5R
B005TI3YJC,AudioQuest,,,,,,AudioQuest Big Sur 1M High-End Audiokabel Cinch auf Cinch (Stereo),,4.5,202,169.95,Audio Advice (98% A17IVE6SUAZA2P),3.9,20.6,5,092592063242,0092592063242,BIGSUR01R
B07DPWTN7N,AudioQuest,1046.71,149.53,7,7,0,AudioQuest NRG-Y3 US Power Cord 1.0m,,4.5,76,149.95,Audio Advice (98% A17IVE6SUAZA2P),5.37,19,7,"092592005808, 092592005754","0092592005754, 0092592005808",NRGY3US01
B00FEKP3LM,AudioQuest,571.01,51.91,3,11,0,AudioQuest 2 m Black Lab RCA Cable Black - Audio Cable RCA Copper 2 m,,4.5,413,51.95,GRAMOPHONE (99% A2XGE4CX5AV74X),3.9,7.79,4,092592078895,0092592078895,BLAB02
B006MZHA3C,AudioQuest,0,99.71,6,0,0.018,AudioQuest 1.5m Cinnamon Optical Toslink Fiber-Optic Cable + Mini-Adaptor,,4.6,261,99.95,WORLD WIDE STEREO (99% AKR88PAWTQVN2),3.9,14.99,6,092592045484,0092592045484,OPTCIN01.5
B006ZA76AQ,AudioQuest,,,,,,AudioQuest 0.6M Sydney 3.5M-RCA,,4.4,9,219.95,Audio Advice (98% A17IVE6SUAZA2P),4.99,24.59,1,092592062016,0092592062016,SYD0.6MR
B0CY2XKLXM,AudioQuest,0,75,1,0,0,AudioQuest 2.25 Meters Black Hole Ground Goody Series Cable,,3.7,5,75,"Audio Advisor, Inc. (99% A2763VQ7SN6URD)",6.21,11.25,2,092592021983,0092592021983,GGBLACKH225
B00FEKP50Q,AudioQuest,59.85,59.85,4,1,0.295,"AudioQuest 3m Black Lab RCA Audio Cable Black - Audio Cables (RCA, RCA, Copper, 3 m, Black)",,4.5,413,59.95,Walts TV (95% A2K7RN1DSQCI9O),3.9,8.99,4,092592078901,"0092592078901, 5055545104909",BLAB03
