Supplier Name,Brand,MPN,Product name,Supplier stock,Supplier Cost
Rutronik,2J,2J-A12,2J-A12 Adapter FME/Male -SMA/M,0,1.91
Rutronik,2J,2J0102-2.4-C115N,STUB ANTENNA 2J0102 RP-SMA/m RoHsconfs,0,4.37
Rutronik,2J,2J0102-C109N,STUB ANTENNA 2J0102 SMA/M R/A,0,3.16
Rutronik,2J,2J0102-C115N,STUB ANTENNA 2J0102 RP-SMA/MA,0,3.27
Rutronik,2J,2J0104-C118N,"Stub ant. 2J0104, TNC/M",0,4.72
Rutronik,2J,2J0104-C257N,Stub antenna 2J0104 FME/f,0,4.99
Rutronik,2J,2J0115-433-C20N,2J0115 Stub antenna SMA/M,0,2.39
Rutronik,2J,2J0115-868-C109N,2J0115 Stub antenna SMA/M R/A,0,3.51
Rutronik,2J,2J0115-868-C118N,2J0115 Stub antenna TNC/M,0,2.19
Rutronik,2J,2J0115-868-C20N,2J0115 Stub antenna SMA/M,0,2.89
Rutronik,2J,2J0115W-868-C20G,"2J0115 Stub antenna, White SMA",0,2.26
Rutronik,2J,2J0202-C109N,STUB ANTENNA 2J0202 SMA/M R/A,0,2.12
Rutronik,2J,2J0202-C20N,STUB ANTENNA 2J0202 SMA/M,0,2.12
Rutronik,2J,2J040,"Stub ant. 2J0104, FME/f R/A",0,2.5
Rutronik,2J,2J0502,STUB ANTENNA 2J0502 SMA/M,0,3.57
Rutronik,2J,2J0502-C115N,Wifi STUB 2J0502 RP-SMA/m IP67,0,0
Rutronik,2J,2J0801A-C814G,2J0801a Stub antenna GNSS,0,9.88
Rutronik,2J,2J0801B-C814G,2J0801b Stub antenna GNSS,0,9.88
Rutronik,2J,2J0801CF-C40G-A38G,2J0801CF GNSS Active Antenna,0,22.14
Rutronik,2J,2J0819-C708N,2J0819 ANTENNA 169MHz SMA/male,0,4.08
Rutronik,2J,2J0819z-C708N,2J0819z ANTENNA 169MHz SMA/male,0,2.55
Rutronik,2J,2J0909,2J0909 FM Antenna,0,3.72
Rutronik,2J,2J0A02-C91G,2J0A02 STUB ANTENNA SMA/M,0,4.16
Rutronik,2J,2J0B04-C884G,STUB ANT. Celluar SMA/M 2G/3G,0,3.29
Rutronik,2J,2J0B04W-C885G,STUB ANT. WHITE SMA/M 2G/3G,0,4.66
Rutronik,2J,2J0B15-433-C884G,2J0B15 433MHz ISM Connector M,0,0
Rutronik,2J,2J0B24-C884G,StubAntenna 2J0B24 SMA/m RAngle,0,3.29
Rutronik,2J,2J0X5-020RG178-C165G,"2J0X5 PCB, 20cm RG178, MMCX/M",0,2.89
Rutronik,2J,2J0X5PCB-005MC113-SE,Ant. 2J0X5 5CM STRIPPED END,0,1.44
Rutronik,2J,2J0X5PCB-010MC081-GSC,Ant. 900/1800/2100MHz GSC,0,2.64
Rutronik,2J,2J0X5PCB-010MC113-UFL,Ant. 900/1800/2100MHz U.FL,0,1.67
Rutronik,2J,2J0X5PCB-010RG178-C165N,"2J0X5 PCB, 10cm RG178, MMCX/M",0,1.89
Rutronik,2J,2J1002-005RG178-UFL,2J1002 Antenna 5cm cable U.FL,0,4.17
Rutronik,2J,2J1002-030RG178-UFL,2J1002 Antenna 30cm cable U.FL,0,5.44
Rutronik,2J,2J1004-005RG174-C20N,"2J1004 Antenna SMA, 5cm",0,4.48
Rutronik,2J,2J1004-050RG174-C115N,"2J1004 Antenna RP SMA, 0,5m",0,2.95
Rutronik,2J,2J1004-050RG174-C20N,"2J1004 Antenna SMA/M, 0,5m",0,3.55
Rutronik,2J,2J1004-250RG174-C20N,"2J1004 Antenna SMA/M, 2,5m",0,3.4
Rutronik,2J,2J1015-868-100RG174-C51N,2J1015-868 ISM/LoRa/SIGFOX,0,5.89
Rutronik,2J,2J1204B-250RG58-C91N,"2J1204B Ant. Penta 2,5m SMA/m",0,9.45
Rutronik,2J,2J120B-500RG58-C85N,2J120B Antenna Penta 5M FME/f,0,9.8
Rutronik,2J,2J2102K-B07H-300LL195-C151N,"Wall mount ant. WLAN 2,5/5 GHz",0,21.65
Rutronik,2J,2J2115K-868-B07H-300LL100-C20N,2J2115K WallMount ISM Ant. 3mLL100 SMA/m,0,13.07
Rutronik,2J,2J2124B-B05H-300LL195-C91NRST_CU008,Wall m. ant. LTE SMA/f Ni,0,17.16
Rutronik,2J,2J2124B-B05H-400LL195-C126NST,Wall m. ant. LTE SMA/f Ni,0,38.19
Rutronik,2J,2J2124B-B05H-500LL195-C85N,Wall m. ant. LTE FME/f Ni,0,27.43
Rutronik,2J,2J2124K-B07H-1000H155-C528G,Wall m. ant. Penta band SMA/m,0,45.08
Rutronik,2J,2J2124K-B07H-500H155-C528N,Wall m. ant. Penta band SMA/m,0,36.9
Rutronik,2J,2J240GP-400RG58-C91N,2J240GP Wall m. antenna SMA/m,0,14.29
Rutronik,2J,2J3024M_1-125LL100ST-C20NST,Magnetic ant. Penta band SMA/m,0,3.86
Rutronik,2J,2J3024M-050RG174-C109N,MAGNETIC M Ant. 2J3024M SMA/m,0,5.98
Rutronik,2J,2J3024M-100LL100-C109NST,Magnetic LTE Ant. LL100 SMA/m RA NI,0,5.98
Rutronik,2J,2J3024M-100RG174-C20N,MAGNETIC M Ant. 2J3024M SMA/m,0,7.57
Rutronik,2J,2J3024M-150LL100-C20N,MAGNETIC Ant. 2J3024M SMA/m Ni,0,9.56
Rutronik,2J,2J3024M-250RG174-C44G,MAGNETIC M Antenna 2J3024M MMCX,0,11.56
Rutronik,2J,2J3024M-300RG174-C20N,MAGNETIC M Ant. 2J3024M SMA/m,0,8.56
Rutronik,2J,2J3024MP-050RG174-C109N,MAGNETIC M Ant 2J300MP SMA/m,0,8.16
Rutronik,2J,2J3024MP-100LL100-C20NST,MAGNETIC M Ant 2J3024MP SMA/m,0,8.59
Rutronik,2J,2J302M-300RG174-C20N,MAGNETIC M Antenna 2J302M SMA/m,0,6.69
Rutronik,2J,2J3104M-300RG174-C20NST,Magnet.antenna 868/GSM/3G/SMA/m,0,6.09
