ASIN,Brand,Est. Monthly Revenue,Price,FBA Sellers,Est. Monthly Units Sold,Amazon In-Stock Rate,Product name,Bought in past month,Reviews: Rating,Reviews: Review Count,Buy Box: Current,Buy Box Seller,FBA Fees:,Referral Fee based on current Buy Box price,"Count of retrieved live offers: New, FBA",Product Codes: EAN,Product Codes: UPC,Product Codes: PartNumber
B08Y999HBF,Canon,784674,33,3,23778,0.905,"Canon PG-275 / CL-276 Genuine Ink Value Pack (2 Cartridges), Compatible with TS3520/3522/4722/3720/3722, TR4720",20000,4.6,17093,33,Amazon,3.9,4.95,1,660685223226,660685223226,4988C005
B08XZRJMHF,Canon,282336,16,1,17646,1,"Canon PG-275 Genuine Black Ink Cartridge, Compatible with TS3520/3522, TR4720/4722, TS3720/3722",10000,4.6,11168,16,Amazon,3.68,2.4,1,13803339369,13803339369,4982C001
B0101S7K6C,Canon,446252,29,3,15388,1,"Canon PG-243 / CL-244 Genuine Ink Value Pack (2 Cartridges), Compatible with iP2820, MX492, MG2420/2520/2920/2922/2924/3020/2522/2525, TS3120/302/302a/202/4520/3320",10000,4.6,69179,29,Amazon,3.9,4.35,2,660685197749,660685197749,1287C006
B010A7TZ76,Canon,,,,,,"Canon Pixma MG3620 Wireless All-in-One Color Inkjet Printer with Mobile and Tablet Printing, Black",8000,3.9,29412,59,Amazon,15.13,4.72,2,13803256192,13803256192,MG3620 Black
B08XZQ8B8V,Canon,267810,30,2,8927,0.921,"Canon PG-275 XL Genuine Black Ink Cartridge, Compatible with TS3520/3522, TR4720/4722, TS3720/3722",8000,4.7,6958,30,Amazon,3.68,4.5,1,13803339352,13803339352,4981C001
B005VC8D88,Canon,222021.8,28.6,3,7763,1,"Canon PG-240 XL Genuine Black Ink Cartridge, Compatible with MG2120/3120/4120, MX512/432/472/372/392/522/532/452, MG2220/3220/4220/3520/3620, TS5120",7000,4.7,25783,24.99,Amazon,3.68,3.75,1,13803134957,13803134957,5206B001
B0D1DV6FV5,Canon,372533.1,62.79,1,5933,1,Canon PIXMA TS3720 Wireless All-in-One Printer (6671C022),7000,4.2,898,54,Amazon,14.37,4.32,1,13803377620,13803377620,6671C022
B09CDXKNB9,Canon,393794,70.17,1,5612,0.807,"Canon PIXMA TR4720 All-in-One Wireless Printer, Home Use with Auto Document Feeder, Mobile Printing and Built-in Fax, Black",7000,4,11020,59,Amazon,16.65,4.72,1,13803340648,13803340648,5074C002
B00E58RQ4Q,Canon,149131.1,19.32,1,7719,1,"Canon PG-245 Genuine Black Ink Cartridge, Compatible with iP2820, MG2420/2924/2920/3020/2522/2525, MX492, TS3120/302/302a/202/202a/4520/3320",6000,4.7,39547,22.99,Amazon,3.68,3.45,1,"014445552376, 013803215533","0013803215533, 0014445552376",PG245
B00E58RQ8M,Canon,193818.2,28.98,1,6688,1,"Canon PG-245 XL Genuine Black Ink Cartridge, Compatible with iP2820, MG2420/2924/2920/3020/2522/2525, MX492, TS3120/302/302a/202/202a/4520/3320",6000,4.7,31912,29,Amazon,3.9,4.35,1,13803215519,13803215519,8278B001
B01LXJNPZV,Canon,111984,16,2,6999,1,"Canon PG-243 Genuine Black Ink Cartridge, Compatible with iP2820, MX492, MG2420/2520/2920/2922/2924/3020/2525, TS3120/302/302a/202/4520/3320",6000,4.6,69179,16,Amazon,3.68,2.4,1,"013803272628, 013803282269, 783629325456","0013803272628, 0013803282269, 0783629325456",1287C001
B0101SI6W4,Canon,461282.4,68.47,2,6737,1,"Canon PGI-280XL/CLI-281 5 Color Pack Compatible to TR8520, TR7520, TS9120 Series,TS8120 Series, TS6120 Series",5000,4.6,10842,71,HiTouch Business Services a BU of Staples (87% AECXT73EGS1XW),3.9,10.65,1,660685174283,660685174283,2021C007
B0101SHNVY,Canon,274690.8,47.02,2,5842,0.924,"Canon PG-260 / CLI-261 Genuine Ink Value Pack (2 Cartridges), Compatible with TS5320, TR7020",4000,4.7,5891,48,Amazon,3.9,7.2,1,660685208414,660685208414,3725C006
B0BGY6PHVZ,Canon,183651,39,1,4709,1,"Canon ZINK 2 x 3"" Photo Sticker Paper Pack (100 Sheets)",4000,4.8,1320,46.95,Amazon,3.9,7.04,1,13803358865,13803358865,6135C001AA
B0093N4YWU,Canon,301258.2,63.57,1,4739,1,"Canon Genuine Ink PG-240 XL / CL-241 XL Value Pack (2 Cartridges), Compatible with MG2120/3120/4120/2220/3220/4220/3520/3620, MX372/392/432/452/472/512/522/532, TS5120",4000,4.8,15475,64,Amazon,3.9,9.6,1,660685202207,660685202207,5206B031
